GeneId	GeneName	GOIds	GoNames	Type
MGI:MGI:3030384	Olfr550	GO:0007186|GO:0007165|GO:0007608|GO:0016021|GO:0004984|GO:0005886	G-protein coupled receptor signaling pathway|signal transduction|sensory perception of smell|integral component of membrane|olfactory receptor activity|plasma membrane	GA_x6K02T2PBJ9-5297243-5298193|MOR16-1	protein
MGI:MGI:1346021	Slco2a1	GO:0005887|GO:0015132|GO:0016020|GO:0043252|GO:0016021|GO:0006810|GO:0005215|GO:0005886|GO:0015347|GO:0015732	integral component of plasma membrane|prostaglandin transmembrane transporter activity|membrane|sodium-independent organic anion transport|integral component of membrane|transport|transporter activity|plasma membrane|sodium-independent organic anion transmembrane transporter activity|prostaglandin transport	2310021C19Rik|mPgt|Pgt|Slc21a2	protein
MGI:MGI:3030433	Olfr599	GO:0007186|GO:0007165|GO:0007608|GO:0016021|GO:0004984|GO:0005886	G-protein coupled receptor signaling pathway|signal transduction|sensory perception of smell|integral component of membrane|olfactory receptor activity|plasma membrane	GA_x6K02T2PBJ9-6047402-6048349|MOR23-1	protein
MGI:MGI:2675603	Trpm6	GO:0006468|GO:0009636|GO:0000166|GO:0005524|GO:0006811|GO:0006812|GO:0051262|GO:0006816|GO:0070588|GO:0016310|GO:0030001|GO:0055085|GO:0005262|GO:0005261|GO:0004674|GO:0006810|GO:0005886|GO:0005216|GO:0031526|GO:0046872|GO:0016020|GO:0016021|GO:0016740|GO:0016301|GO:0016324	protein phosphorylation|response to toxic substance|nucleotide binding|ATP binding|ion transport|cation transport|protein tetramerization|calcium ion transport|calcium ion transmembrane transport|phosphorylation|metal ion transport|transmembrane transport|calcium channel activity|cation channel activity|protein serine/threonine kinase activity|transport|plasma membrane|ion channel activity|brush border membrane|metal ion binding|membrane|integral component of membrane|transferase activity|kinase activity|apical plasma membrane	CHAK2	protein
MGI:MGI:103020	Syn2	GO:0014069|GO:0043209|GO:0008021|GO:0048306|GO:0046983|GO:0045202|GO:0005886|GO:0007269|GO:0005524|GO:0005515|GO:0003824|GO:0043195|GO:0030054|GO:0031201|GO:0030672	postsynaptic density|myelin sheath|synaptic vesicle|calcium-dependent protein binding|protein dimerization activity|synapse|plasma membrane|neurotransmitter secretion|ATP binding|protein binding|catalytic activity|terminal bouton|cell junction|SNARE complex|synaptic vesicle membrane	2900074L19Rik|Synapsin IIa|Synapsin IIb	protein
MGI:MGI:1890616	Scube1	GO:0005615|GO:0046982|GO:0005509|GO:0016020|GO:0045880|GO:0009897|GO:0030154|GO:0051260|GO:0005576|GO:0005886|GO:0009986	extracellular space|protein heterodimerization activity|calcium ion binding|membrane|positive regulation of smoothened signaling pathway|external side of plasma membrane|cell differentiation|protein homooligomerization|extracellular region|plasma membrane|cell surface	7330410C13Rik|A630023E24Rik	protein
MGI:MGI:1890615	Panx2	GO:0022829|GO:0015267|GO:0055085|GO:0007267|GO:0005243|GO:0006810|GO:0005886|GO:0005921|GO:0006811|GO:0002931|GO:0006812|GO:0005737|GO:0046982|GO:0016020|GO:0016021|GO:0012505|GO:0030054	wide pore channel activity|channel activity|transmembrane transport|cell-cell signaling|gap junction channel activity|transport|plasma membrane|gap junction|ion transport|response to ischemia|cation transport|cytoplasm|protein heterodimerization activity|membrane|integral component of membrane|endomembrane system|cell junction		protein
MGI:MGI:1927851	Gpr85	GO:0004930|GO:0005887|GO:0007186|GO:0007165|GO:0016020|GO:0016021|GO:0005057|GO:0005783|GO:0004871|GO:0005886	G-protein coupled receptor activity|integral component of plasma membrane|G-protein coupled receptor signaling pathway|signal transduction|membrane|integral component of membrane|signal transducer activity, downstream of receptor|endoplasmic reticulum|signal transducer activity|plasma membrane	2900026B03Rik	protein
MGI:MGI:2148931	Ly6g6d	GO:0042802|GO:0016020|GO:0095500|GO:0009897|GO:0030550|GO:0051260|GO:0043234|GO:0042995|GO:0005886|GO:0031225	identical protein binding|membrane|acetylcholine receptor signaling pathway|external side of plasma membrane|acetylcholine receptor inhibitor activity|protein homooligomerization|protein complex|cell projection|plasma membrane|anchored component of membrane	A930024F17Rik|G6d|G6f|MEGT1|NG25|NG32	protein
MGI:MGI:2148930	Ly6g6c	GO:0042802|GO:0016020|GO:0009897|GO:0051260|GO:0043234|GO:0005886|GO:0031225	identical protein binding|membrane|external side of plasma membrane|protein homooligomerization|protein complex|plasma membrane|anchored component of membrane	1110003M04Rik|G6c|NG24	protein
MGI:MGI:103038	Stat3	GO:0090575|GO:2001171|GO:0000978|GO:0006366|GO:0001228|GO:0045648|GO:0001103|GO:0007259|GO:0001077|GO:0006954|GO:0045893|GO:0044320|GO:2000637|GO:0072540|GO:0097009|GO:0005829|GO:0051726|GO:0010730|GO:0042789|GO:0060396|GO:0019901|GO:0060397|GO:0019827|GO:0019903|GO:0035278|GO:0033210|GO:0044321|GO:0046983|GO:0004871|GO:0046902|GO:0005886|GO:0000981|GO:0005634|GO:0000790|GO:0001754|GO:0005515|GO:0006606|GO:0010628|GO:0042593|GO:0032355|GO:0032870|GO:0019953|GO:0071407|GO:0008283|GO:0034097|GO:0040014|GO:0008285|GO:0008284|GO:0044212|GO:0045820|GO:0060548|GO:0043565|GO:1902895|GO:0045944|GO:0045747|GO:0005654|GO:0042755|GO:0003700|GO:1902728|GO:0004879|GO:0019221|GO:2000737|GO:0070102|GO:0016310|GO:0031730|GO:0035259|GO:2001223|GO:0030522|GO:0031490|GO:0042802|GO:0048708|GO:0042803|GO:0006351|GO:0007165|GO:1904685|GO:0060019|GO:0006355|GO:1901215|GO:0008134|GO:0006953|GO:0005743|GO:0060259|GO:0003677|GO:0005737|GO:0043066|GO:0001659|GO:0005739|GO:0071345	RNA polymerase II transcription factor complex|positive regulation of ATP biosynthetic process|RNA polymerase II proximal promoter sequence-specific DNA binding|transcription from RNA polymerase II promoter|transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding|positive regulation of erythrocyte differentiation|RNA polymerase II repressing transcription factor binding|JAK-STAT cascade|transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding|inflammatory response|positive regulation of transcription, DNA-templated|cellular response to leptin stimulus|positive regulation of gene silencing by miRNA|T-helper 17 cell lineage commitment|energy homeostasis|cytosol|regulation of cell cycle|negative regulation of hydrogen peroxide biosynthetic process|mRNA transcription from RNA polymerase II promoter|growth hormone receptor signaling pathway|protein kinase binding|JAK-STAT cascade involved in growth hormone signaling pathway|stem cell population maintenance|protein phosphatase binding|miRNA mediated inhibition of translation|leptin-mediated signaling pathway|response to leptin|protein dimerization activity|signal transducer activity|regulation of mitochondrial membrane permeability|plasma membrane|RNA polymerase II transcription factor activity, sequence-specific DNA binding|nucleus|nuclear chromatin|eye photoreceptor cell differentiation|protein binding|protein import into nucleus|positive regulation of gene expression|glucose homeostasis|response to estradiol|cellular response to hormone stimulus|sexual reproduction|cellular response to organic cyclic compound|cell proliferation|response to cytokine|regulation of multicellular organism growth|negative regulation of cell proliferation|positive regulation of cell proliferation|transcription regulatory region DNA binding|negative regulation of glycolytic process|negative regulation of cell death|sequence-specific DNA binding|positive regulation of pri-miRNA transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|positive regulation of Notch signaling pathway|nucleoplasm|eating behavior|DNA binding transcription factor activity|positive regulation of growth factor dependent skeletal muscle satellite cell proliferation|nuclear receptor activity|cytokine-mediated signaling pathway|negative regulation of stem cell differentiation|interleukin-6-mediated signaling pathway|phosphorylation|CCR5 chemokine receptor binding|glucocorticoid receptor binding|negative regulation of neuron migration|intracellular receptor signaling pathway|chromatin DNA binding|identical protein binding|astrocyte differentiation|protein homodimerization activity|transcription, DNA-templated|signal transduction|positive regulation of metalloendopeptidase activity|radial glial cell differentiation|regulation of transcription, DNA-templated|negative regulation of neuron death|transcription factor binding|acute-phase response|mitochondrial inner membrane|regulation of feeding behavior|DNA binding|cytoplasm|negative regulation of apoptotic process|temperature homeostasis|mitochondrion|cellular response to cytokine stimulus	1110034C02Rik|Aprf	protein
MGI:MGI:1343498	Edar	GO:0060662|GO:0007275|GO:0042475|GO:0004872|GO:0042346|GO:0005886|GO:0001942|GO:0045177|GO:0010628|GO:0043473|GO:0046330|GO:0006915|GO:0016020|GO:0016021|GO:0030154	salivary gland cavitation|multicellular organism development|odontogenesis of dentin-containing tooth|receptor activity|positive regulation of NF-kappaB import into nucleus|plasma membrane|hair follicle development|apical part of cell|positive regulation of gene expression|pigmentation|positive regulation of JNK cascade|apoptotic process|membrane|integral component of membrane|cell differentiation		protein
MGI:MGI:2148924	Clic1	GO:1902476|GO:0005254|GO:0045669|GO:0006821|GO:0034707|GO:0006811|GO:0070062|GO:0051881|GO:0045296|GO:0072562|GO:0034765|GO:0051726|GO:0070527|GO:0005244|GO:0006810|GO:0005886|GO:0005635|GO:0005634|GO:0005615|GO:0048471|GO:0005737|GO:0005739|GO:0016020|GO:0016021|GO:0031982	chloride transmembrane transport|chloride channel activity|positive regulation of osteoblast differentiation|chloride transport|chloride channel complex|ion transport|extracellular exosome|regulation of mitochondrial membrane potential|cadherin binding|blood microparticle|regulation of ion transmembrane transport|regulation of cell cycle|platelet aggregation|voltage-gated ion channel activity|transport|plasma membrane|nuclear envelope|nucleus|extracellular space|perinuclear region of cytoplasm|cytoplasm|mitochondrion|membrane|integral component of membrane|vesicle	Clcp|G6	protein
MGI:MGI:2177651	Vasn	GO:0007166|GO:0005765|GO:0005886|GO:0009986|GO:0050431|GO:0071461|GO:0005615|GO:0005515|GO:0010719|GO:0070062|GO:0045296|GO:0005739|GO:0016020|GO:0016021|GO:0071456|GO:0030512	cell surface receptor signaling pathway|lysosomal membrane|plasma membrane|cell surface|transforming growth factor beta binding|cellular response to redox state|extracellular space|protein binding|negative regulation of epithelial to mesenchymal transition|extracellular exosome|cadherin binding|mitochondrion|membrane|integral component of membrane|cellular response to hypoxia|negative regulation of transforming growth factor beta receptor signaling pathway	2610528G05Rik|ATIA|Slitl2	protein
MGI:MGI:1343489	Mpdz	GO:0016327|GO:0008022|GO:0007155|GO:0042552|GO:0045202|GO:0042995|GO:0043005|GO:0005886|GO:0005923|GO:0005515|GO:0005737|GO:0045211|GO:0043220|GO:0016020|GO:0030054|GO:0031410|GO:0016324	apicolateral plasma membrane|protein C-terminus binding|cell adhesion|myelination|synapse|cell projection|neuron projection|plasma membrane|bicellular tight junction|protein binding|cytoplasm|postsynaptic membrane|Schmidt-Lanterman incisure|membrane|cell junction|cytoplasmic vesicle|apical plasma membrane	B930003D11Rik|MUPP1	protein
MGI:MGI:103077	Stx3	GO:0042734|GO:0008021|GO:0008284|GO:0045785|GO:0006886|GO:0097470|GO:0006887|GO:0043005|GO:0030426|GO:0006836|GO:0030425|GO:0016192|GO:0070062|GO:0098794|GO:0042581|GO:0042582|GO:0060291|GO:0030027|GO:0061025|GO:2000010|GO:0031175|GO:0030141|GO:1903078|GO:0005484|GO:0000149|GO:0006810|GO:0005886|GO:0042589|GO:0016081|GO:0005515|GO:0005911|GO:1990796|GO:0006906|GO:0042470|GO:0048278|GO:0016020|GO:0031629|GO:0016021|GO:0031201|GO:0098967|GO:0050921|GO:0016324|GO:0050544	presynaptic membrane|synaptic vesicle|positive regulation of cell proliferation|positive regulation of cell adhesion|intracellular protein transport|ribbon synapse|exocytosis|neuron projection|growth cone|neurotransmitter transport|dendrite|vesicle-mediated transport|extracellular exosome|postsynapse|specific granule|azurophil granule|long-term synaptic potentiation|lamellipodium|membrane fusion|positive regulation of protein localization to cell surface|neuron projection development|secretory granule|positive regulation of protein localization to plasma membrane|SNAP receptor activity|SNARE binding|transport|plasma membrane|zymogen granule membrane|synaptic vesicle docking|protein binding|cell-cell junction|photoreceptor cell terminal bouton|vesicle fusion|melanosome|vesicle docking|membrane|synaptic vesicle fusion to presynaptic active zone membrane|integral component of membrane|SNARE complex|exocytic insertion of neurotransmitter receptor to postsynaptic membrane|positive regulation of chemotaxis|apical plasma membrane|arachidonic acid binding	Syn-3|syntaxin 3A|syntaxin 3B	protein
MGI:MGI:1343458	Trip6	GO:0006351|GO:0008588|GO:0006355|GO:0007155|GO:0045323|GO:0005149|GO:0005886|GO:0005634|GO:0003723|GO:0005515|GO:0005856|GO:0005925|GO:0005737|GO:0046872|GO:0005829|GO:0030054|GO:0019900|GO:0030335	transcription, DNA-templated|release of cytoplasmic sequestered NF-kappaB|regulation of transcription, DNA-templated|cell adhesion|interleukin-1 receptor complex|interleukin-1 receptor binding|plasma membrane|nucleus|RNA binding|protein binding|cytoskeleton|focal adhesion|cytoplasm|metal ion binding|cytosol|cell junction|kinase binding|positive regulation of cell migration		protein
MGI:MGI:103080	Pigr	GO:0007173|GO:0005154|GO:0001580|GO:0043235|GO:0043113|GO:0005576|GO:0001792|GO:0005886|GO:0038093|GO:0005615|GO:0070062|GO:0002415|GO:0016020|GO:0016021|GO:0030133|GO:0055038	epidermal growth factor receptor signaling pathway|epidermal growth factor receptor binding|detection of chemical stimulus involved in sensory perception of bitter taste|receptor complex|receptor clustering|extracellular region|polymeric immunoglobulin receptor activity|plasma membrane|Fc receptor signaling pathway|extracellular space|extracellular exosome|immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor|membrane|integral component of membrane|transport vesicle|recycling endosome membrane		protein
MGI:MGI:1927803	Fcamr	GO:0004888|GO:0006955|GO:0016020|GO:0016021|GO:0002250|GO:0019862|GO:0001791|GO:0002376|GO:0005886	transmembrane signaling receptor activity|immune response|membrane|integral component of membrane|adaptive immune response|IgA binding|IgM binding|immune system process|plasma membrane		protein
MGI:MGI:2685862	Cd101	GO:0002763|GO:0070062|GO:0016020|GO:0016021|GO:0007166|GO:0003674|GO:0005886	positive regulation of myeloid leukocyte differentiation|extracellular exosome|membrane|integral component of membrane|cell surface receptor signaling pathway|molecular_function|plasma membrane	Igsf2|LOC381460	protein
MGI:MGI:1321091	Klra12	GO:0005886	plasma membrane	Ly49L|Ly49l1|Ly49l2|Ly49l3|Ly49l4|Ly49p/d	protein
MGI:MGI:1913316	Gng11	GO:0005834|GO:0007186|GO:0007165|GO:0016020|GO:0004871|GO:0005886	heterotrimeric G-protein complex|G-protein coupled receptor signaling pathway|signal transduction|membrane|signal transducer activity|plasma membrane	0610037B21Rik	protein
MGI:MGI:1336891	Slc6a20b	GO:0005887|GO:0006836|GO:0005328|GO:0005515|GO:0031526|GO:0016020|GO:0016021|GO:0015293|GO:0006810|GO:0005215|GO:0005886|GO:0016324	integral component of plasma membrane|neurotransmitter transport|neurotransmitter:sodium symporter activity|protein binding|brush border membrane|membrane|integral component of membrane|symporter activity|transport|transporter activity|plasma membrane|apical plasma membrane	Sit1|Slc6a20|XT3|Xtrp3	protein
MGI:MGI:1336892	Slc6a18	GO:0015293|GO:0006810|GO:0006865|GO:0003333|GO:0005215|GO:0005886|GO:0005887|GO:0006836|GO:0005328|GO:0005515|GO:0031526|GO:0016020|GO:0016021	symporter activity|transport|amino acid transport|amino acid transmembrane transport|transporter activity|plasma membrane|integral component of plasma membrane|neurotransmitter transport|neurotransmitter:sodium symporter activity|protein binding|brush border membrane|membrane|integral component of membrane	D630001K16Rik|XT2|Xtrp2	protein
MGI:MGI:3041203	Adgrd1	GO:0004930|GO:0004888|GO:0007186|GO:0016020|GO:0016021|GO:0007166|GO:0010579|GO:0005886	G-protein coupled receptor activity|transmembrane signaling receptor activity|G-protein coupled receptor signaling pathway|membrane|integral component of membrane|cell surface receptor signaling pathway|positive regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway|plasma membrane	E230012M21Rik|Gpr133	protein
MGI:MGI:3646674	Vmn2r116	GO:0004930|GO:0016503|GO:0045925|GO:0007186|GO:0007165|GO:0016020|GO:0016021|GO:0019236|GO:0004871|GO:0005575|GO:0005886	G-protein coupled receptor activity|pheromone receptor activity|positive regulation of female receptivity|G-protein coupled receptor signaling pathway|signal transduction|membrane|integral component of membrane|response to pheromone|signal transducer activity|cellular_component|plasma membrane	EG619697|V2Rp5	protein
MGI:MGI:1923588	Rab2b	GO:0015031|GO:0000139|GO:0005783|GO:0005794|GO:0006810|GO:0005886|GO:0045921|GO:0000166|GO:0005525|GO:0098793|GO:0016192|GO:0070062|GO:0003924|GO:0016020	protein transport|Golgi membrane|endoplasmic reticulum|Golgi apparatus|transport|plasma membrane|positive regulation of exocytosis|nucleotide binding|GTP binding|presynapse|vesicle-mediated transport|extracellular exosome|GTPase activity|membrane	1500012D09Rik|4930528G15Rik|D530043M21Rik	protein
MGI:MGI:1923580	Sephs1	GO:0008150|GO:0042802|GO:0042803|GO:0005886|GO:0000166|GO:0005524|GO:0005634|GO:0031965|GO:0004756|GO:0005737|GO:0016260|GO:0046982|GO:0016020|GO:0016310|GO:0016740|GO:0016301	biological_process|identical protein binding|protein homodimerization activity|plasma membrane|nucleotide binding|ATP binding|nucleus|nuclear membrane|selenide, water dikinase activity|cytoplasm|selenocysteine biosynthetic process|protein heterodimerization activity|membrane|phosphorylation|transferase activity|kinase activity	1110046B24Rik|SPS1	protein
MGI:MGI:1918711	Ptk7	GO:0060484|GO:0090179|GO:0007155|GO:0060026|GO:0003401|GO:0005887|GO:0007507|GO:1904929|GO:0042060|GO:0001843|GO:0005925|GO:0045198|GO:0016055|GO:0060070|GO:0010976|GO:0016477|GO:0031532|GO:0090103|GO:0003281|GO:0060976|GO:0004672|GO:0005886|GO:0005911|GO:0071300|GO:0001736|GO:0016020|GO:0016021|GO:0030054	lung-associated mesenchyme development|planar cell polarity pathway involved in neural tube closure|cell adhesion|convergent extension|axis elongation|integral component of plasma membrane|heart development|coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway|wound healing|neural tube closure|focal adhesion|establishment of epithelial cell apical/basal polarity|Wnt signaling pathway|canonical Wnt signaling pathway|positive regulation of neuron projection development|cell migration|actin cytoskeleton reorganization|cochlea morphogenesis|ventricular septum development|coronary vasculature development|protein kinase activity|plasma membrane|cell-cell junction|cellular response to retinoic acid|establishment of planar polarity|membrane|integral component of membrane|cell junction	8430404F20Rik|chz|mPTK7/CCK4	protein
MGI:MGI:2179061	Plxna4	GO:0008045|GO:0021636|GO:0021615|GO:0021637|GO:0007399|GO:0021610|GO:0048812|GO:0007411|GO:0021612|GO:0021793|GO:0048485|GO:0048841|GO:0007165|GO:1902287|GO:0021644|GO:0021602|GO:0005886|GO:0021784|GO:0021960|GO:0021785|GO:0005515|GO:0016020|GO:0016021|GO:0017154|GO:0050923|GO:0071526	motor neuron axon guidance|trigeminal nerve morphogenesis|glossopharyngeal nerve morphogenesis|trigeminal nerve structural organization|nervous system development|facial nerve morphogenesis|neuron projection morphogenesis|axon guidance|facial nerve structural organization|chemorepulsion of branchiomotor axon|sympathetic nervous system development|regulation of axon extension involved in axon guidance|signal transduction|semaphorin-plexin signaling pathway involved in axon guidance|vagus nerve morphogenesis|cranial nerve morphogenesis|plasma membrane|postganglionic parasympathetic fiber development|anterior commissure morphogenesis|branchiomotor neuron axon guidance|protein binding|membrane|integral component of membrane|semaphorin receptor activity|regulation of negative chemotaxis|semaphorin-plexin signaling pathway	Plxa4	protein
MGI:MGI:1341264	Tpbg	GO:0005737|GO:0016020|GO:0016021|GO:0005783|GO:0051965|GO:0005886|GO:0009986	cytoplasm|membrane|integral component of membrane|endoplasmic reticulum|positive regulation of synapse assembly|plasma membrane|cell surface	5T4|5T4 oncofetal antigen	protein
MGI:MGI:1333849	Rasgrp2	GO:0007264|GO:0005085|GO:0045202|GO:0042995|GO:0043005|GO:0005886|GO:0043547|GO:0071277|GO:0005737|GO:0046872|GO:0005509|GO:0016020|GO:0005829|GO:0030054|GO:0035556	small GTPase mediated signal transduction|guanyl-nucleotide exchange factor activity|synapse|cell projection|neuron projection|plasma membrane|positive regulation of GTPase activity|cellular response to calcium ion|cytoplasm|metal ion binding|calcium ion binding|membrane|cytosol|cell junction|intracellular signal transduction	Caldaggef1|CalDAG-GEFI	protein
MGI:MGI:2158417	Rtkn2	GO:0007165|GO:0030097|GO:0008284|GO:0003674|GO:0005886	signal transduction|hemopoiesis|positive regulation of cell proliferation|molecular_function|plasma membrane	B130039D23Rik|Mbf|Plekhk1	protein
MGI:MGI:1923545	Atp11b	GO:0016020|GO:0004012|GO:0005783|GO:0055037|GO:0005886	membrane|phospholipid-translocating ATPase activity|endoplasmic reticulum|recycling endosome|plasma membrane	1110019I14Rik	protein
MGI:MGI:1918882	Scn3b	GO:0010460|GO:0086014|GO:0086012|GO:0086015|GO:0005272|GO:0060048|GO:0061337|GO:0017080|GO:0006814|GO:0006811|GO:0034765|GO:0086002|GO:0086006|GO:0060371|GO:0060373|GO:0086005|GO:0005244|GO:0006810|GO:0044325|GO:0005886|GO:0030018|GO:0016020|GO:2000649|GO:0010765|GO:0016021|GO:0001518|GO:0035725|GO:0086091|GO:0051899|GO:0086010|GO:0072659	positive regulation of heart rate|atrial cardiac muscle cell action potential|membrane depolarization during cardiac muscle cell action potential|SA node cell action potential|sodium channel activity|cardiac muscle contraction|cardiac conduction|sodium channel regulator activity|sodium ion transport|ion transport|regulation of ion transmembrane transport|cardiac muscle cell action potential involved in contraction|voltage-gated sodium channel activity involved in cardiac muscle cell action potential|regulation of atrial cardiac muscle cell membrane depolarization|regulation of ventricular cardiac muscle cell membrane depolarization|ventricular cardiac muscle cell action potential|voltage-gated ion channel activity|transport|ion channel binding|plasma membrane|Z disc|membrane|regulation of sodium ion transmembrane transporter activity|positive regulation of sodium ion transport|integral component of membrane|voltage-gated sodium channel complex|sodium ion transmembrane transport|regulation of heart rate by cardiac conduction|membrane depolarization|membrane depolarization during action potential|protein localization to plasma membrane	1110001K16Rik|4833414B02Rik	protein
MGI:MGI:1918881	Panx3	GO:0005921|GO:0022829|GO:0006811|GO:0006812|GO:0016020|GO:0007267|GO:0016021|GO:0012505|GO:0030054|GO:0006810|GO:0005886	gap junction|wide pore channel activity|ion transport|cation transport|membrane|cell-cell signaling|integral component of membrane|endomembrane system|cell junction|transport|plasma membrane	4833413G11Rik	protein
MGI:MGI:1923531	Tax1bp3	GO:0090630|GO:0008022|GO:0008285|GO:0007266|GO:0008013|GO:0001650|GO:0005886|GO:0005634|GO:2000009|GO:0005515|GO:0070062|GO:0005737|GO:0043231|GO:0016020|GO:0015629|GO:0016055|GO:0030178|GO:0030111	activation of GTPase activity|protein C-terminus binding|negative regulation of cell proliferation|Rho protein signal transduction|beta-catenin binding|fibrillar center|plasma membrane|nucleus|negative regulation of protein localization to cell surface|protein binding|extracellular exosome|cytoplasm|intracellular membrane-bounded organelle|membrane|actin cytoskeleton|Wnt signaling pathway|negative regulation of Wnt signaling pathway|regulation of Wnt signaling pathway	1300011C24Rik|TIP-1	protein
MGI:MGI:1338786	Pkdrej	GO:0050982|GO:0060046|GO:0005262|GO:0005886	detection of mechanical stimulus|regulation of acrosome reaction|calcium channel activity|plasma membrane		protein
